letter,word,category,example_sentences,chinese_word,chinese_example,word_english,example_sentences_english
S,der Schluss,Allgemein/Grammatik,Ich muss jetzt Schluss machen. | Zum Schluss gibt er uns allen die Hand.,结束,我现在必须结束了。| 最后他和我们所有人握手。,end; conclusion,I have to finish now. | At the end he shakes hands with all of us.
S,"der Schlüssel, –",Wohnen,Ich gebe Ihnen noch den Zimmerschlüssel.,钥匙,我还给您房间钥匙。,key,I will also give you the room key.
S,schmecken,Essen/Trinken,Schmeckt das gut?,味道如何,味道好吗？,to taste,Does that taste good?
S,schnell,Allgemein/Grammatik,Er fährt schnell.,快的,他开得很快。,fast; quick,He drives fast.
S,schon,Allgemein/Grammatik,Ist das Essen schon fertig?,已经,饭已经做好了吗？,already,Is the food ready already?
S,schön,Allgemein/Grammatik,Schönen Urlaub! | Das ist sehr schön.,漂亮的；美好的,祝你假期愉快！| 这非常漂亮。,beautiful; nice,Have a nice vacation! | That is very beautiful.
S,"der Schrank, -ä, e",Wohnen,Die Gläser stehen im Schrank.,柜子,玻璃杯在柜子里。,cabinet; wardrobe,The glasses are in the cabinet.
S,"der Schuh, -e",Einkaufen/Gebrauchsartikel,Zieh die Schuhe aus!,鞋,把鞋脱掉！,shoe,Take off your shoes!
S,die Schule,Erziehung/Ausbildung/Lernen,Meine Tochter geht schon in die Schule. | Die Schule ist gleich hier um die Ecke.,学校,我女儿已经上学了。| 学校就在这附近拐角处。,school,My daughter already goes to school. | The school is right around the corner.
S,"der Schüler, –",Erziehung/Ausbildung/Lernen,In meinem Kurs sind acht Schülerinnen und fünf | Schüler.,学生；小学生,我的班上有八名女学生和五名男学生。,student; pupil,There are eight female students and five male students in my course.
S,schwer,Allgemein/Grammatik,Ist Ihr Gepäck sehr schwer? | Das ist eine schwere Arbeit.,重的；困难的,您的行李很重吗？| 这是一项艰难的工作。,heavy; difficult,Is your luggage very heavy? | That is difficult work.
S,"die Schwester, -n",Person,Meine Schwester kommt am Dienstag.,姐妹；姐姐；妹妹,我妹妹星期二来。,sister,My sister is coming on Tuesday.
S,schwimmen,Freizeit/Unterhaltung,Ich schwimme jeden Tag einen Kilometer.,游泳,我每天游一公里。,to swim,I swim one kilometer every day.
S,das Schwimmbad,Freizeit/Unterhaltung,Kommst du mit ins Schwimmbad?,游泳池,你一起去游泳池吗？,swimming pool,Are you coming along to the swimming pool?
S,der See,Umwelt,"Komm, wir fahren zum Starnberger See.",湖,来，我们去施塔恩贝格湖。,lake,"Come on, we are going to Lake Starnberg."
S,sehen,Allgemein/Grammatik,Ich kann dich nicht sehen. | Ich habe diesen Jungen schon einmal gesehen.,看见,我看不见你。| 我以前已经见过这个男孩一次。,to see,I cannot see you. | I have seen this boy once before.
S,"die Sehenswürdigkeit,",Reisen/Verkehr,-en | Welche Sehenswürdigkeiten gibt es in Frankfurt?,名胜,法兰克福有哪些名胜？,sight; attraction,What sights are there in Frankfurt?
S,sehr,Allgemein/Grammatik,Danke sehr! | Das ist sehr schwer.,非常,非常感谢！| 这非常难。,very,Thank you very much! | That is very difficult.
S,sein,Allgemein/Grammatik,Herr Müller ist in seinem Zimmer. | Mir ist kalt. | Ich bin dreiundzwanzig.,是；他的,米勒先生在他的房间里。| 我觉得冷。| 我二十三岁。,to be,Mr. Müller is in his room. | I am cold. | I am twenty-three.
S,an sein,Allgemein/Grammatik,Das Licht ist noch an.,开着,灯还开着。,to be on,The light is still on.
S,auf sein,Allgemein/Grammatik,Das Fenster ist noch auf.,开着；打开着,窗户还开着。,to be open,The window is still open.
S,weg sein,Allgemein/Grammatik,Herr Meier ist schon weg.,不在；走了,迈尔先生已经走了。,to be gone,Mr. Meier is already gone.
S,zu sein,Allgemein/Grammatik,Die Tür ist zu.,关着,门是关着的。,to be closed,The door is closed.
S,seit,Zeit/Datum,Ich wohne seit drei Jahren in Köln.,自从,我在科隆住了三年了。,since,I have lived in Cologne for three years.
S,selbstständig,Arbeit/Beruf,Er ist selbstständig.,独立的；自雇的,他是自雇人士。,self-employed,He is self-employed.
S,sich,Allgemein/Grammatik,Sie müssen sich erst anmelden.,自己；反身代词,您必须先报名。,oneself; himself; herself,You must register first.
S,sie,Person,Wie heißt sie?,她；他们,她叫什么名字？,she; they,What is her name?
S,Sie,Person,"Wie heißen Sie, bitte?",您；您们,请问您叫什么名字？,you (formal),"What is your name, please?"
S,sitzen,Allgemein/Grammatik,Wo sitzen Sie?,坐,您坐在哪里？,to sit,Where are you sitting?
S,so,Allgemein/Grammatik,"Sie müssen das so machen! | Fahren Sie bitte nicht so schnell! | Meine Frau ist so groß wie ich. | So, das war‘s/wär‘s!",这样；如此,您必须这样做！| 请不要开得这么快！| 我妻子和我一样高。| 好，就这样了！,so; like this,"You have to do it like this! | Please do not drive so fast! | My wife is as tall as I am. | So, that was it!"
S,das Sofa,Wohnen,Das Sofa ist neu.,沙发,这张沙发是新的。,sofa,The sofa is new.
S,sofort,Zeit/Datum,Bitte antworten Sie sofort.,马上；立刻,请立刻回复。,immediately,Please answer immediately.
S,"der Sohn, -ö, e",Person,"Das ist Hans, mein Sohn.",儿子,这是汉斯，我的儿子。,son,"This is Hans, my son."
S,sollen,Allgemein/Grammatik,Soll ich kommen? | Was soll ich mitbringen?,应该；要,我要来吗？| 我应该带什么？,should; shall,Should I come? | What should I bring?
S,die Sonne,Umwelt,Die Sonne scheint.,太阳,太阳在照耀。,sun,The sun is shining.
S,spät,Zeit/Datum,"Es ist schon spät, ich muss gehen.",晚的；迟的,已经晚了，我必须走了。,late,It is already late; I have to go.
S,später,Zeit/Datum,Das können wir später machen.,以后；稍后,这个我们以后可以做。,later,We can do that later.
S,die Speisekarte,Essen/Trinken,"Bringen Sie mir die Speisekarte, bitte.",菜单,请把菜单拿给我。,menu,"Bring me the menu, please."
S,spielen,Freizeit/Unterhaltung,Die Kinder spielen draußen. | Spielen Sie Karten?,玩；演奏,孩子们在外面玩。| 您玩牌吗？,to play,The children are playing outside. | Do you play cards?
S,der Sport,Freizeit/Unterhaltung,Ich mache viel Sport.,运动,我做很多运动。,sport,I do a lot of sports.
S,"die Sprache, -n",Erziehung/Ausbildung/Lernen,Welche Sprachen sprichst du?,语言,你会说哪些语言？,language,Which languages do you speak?
S,sprechen,Kommunikation/Sprache,Kann ich (mit) Herrn Klein sprechen?,说话；交谈,我可以和克莱因先生说话吗？,to speak,Can I speak with Mr. Klein?
S,"die Stadt, -ä, e",Reisen/Verkehr,Heidelberg ist eine alte Stadt.,城市,海德堡是一座古老的城市。,city,Heidelberg is an old city.
S,stehen,Allgemein/Grammatik,"Ich glaube es nicht, aber es steht in der Zeitung. | Der Bus steht schon an der Haltestelle.",站；写着,我不相信，但报纸上写着。| 公交车已经停在车站。,to stand; to be written,"I do not believe it, but it is in the newspaper. | The bus is already standing at the stop."
S,stellen,Allgemein/Grammatik,Stell die Tasche rechts in die Ecke!,放；摆,把包放到右边角落里！,to put; to place,Put the bag on the right in the corner!
S,der Stock,Wohnen,Unsere Wohnung liegt im ersten Stock.,楼层,我们的公寓在一楼。,floor; story,Our apartment is on the first floor.
S,"die Straße, -n",Reisen/Verkehr,In welcher Straße wohnen Sie?,街道,您住在哪条街？,street,Which street do you live on?
S,die Straßenbahn,Reisen/Verkehr,Wo fährt die Straßenbahn ab?,有轨电车,有轨电车在哪里发车？,tram,Where does the tram leave from?
S,studieren,Erziehung/Ausbildung/Lernen,Ich studiere in Mainz.,上大学；学习专业,我在美因茨上大学。,to study,I study in Mainz.
S,das Studium,Erziehung/Ausbildung/Lernen,Das Studium beginnt im Oktober.,大学学习；学业,大学学习十月开始。,studies; degree program,The degree program begins in October.
S,"der Student, -en",Erziehung/Ausbildung/Lernen,Ich bin Studentin.,大学生,我是女大学生。,university student,I am a student.
S,"die Stunde, -n",Zeit/Datum,Ich bin in einer Stunde zurück.,小时；课时,我一小时后回来。,hour; lesson,I will be back in an hour.
S,suchen,Allgemein/Grammatik,Suchst du etwas?,寻找,你在找什么吗？,to search; to look for,Are you looking for something?
T,tanzen,Freizeit/Unterhaltung,Tanzen Sie gern?,跳舞,您喜欢跳舞吗？,to dance,Do you like dancing?
T,"die Tasche, -n",Einkaufen/Gebrauchsartikel,Ich habe die Schlüssel in der Tasche.,包；口袋,钥匙在我的包里。,bag; pocket,I have the keys in my bag.
T,"das Taxi, -s",Reisen/Verkehr,Es gibt heute keinen Bus mehr. Er fährt mit dem Taxi.,出租车,今天没有公交车了。他坐出租车。,taxi,There is no bus anymore today. He is taking a taxi.
T,der Tee,Essen/Trinken,Ich trinke morgens immer Tee.,茶,我早上总是喝茶。,tea,I always drink tea in the morning.
T,"der Teil, -e",Allgemein/Grammatik,Lies bitte auch den zweiten Teil.,部分,请也读第二部分。,part,Please also read the second part.
T,telefonieren,Kommunikation/Sprache,Darf ich mal telefonieren?,打电话,我可以打个电话吗？,to telephone; to make a call,May I use the phone?
T,das Telefon,Kommunikation/Sprache,Haben Sie Telefon?,电话,您有电话吗？,telephone,Do you have a telephone?
T,"der Termin, -e",Zeit/Datum,Am besten machen wir sofort einen Termin.,预约；时间,最好我们马上约个时间。,appointment,It is best if we make an appointment right away.
T,der Test,Erziehung/Ausbildung/Lernen,Der Test war einfach.,测试；考试,测试很简单。,test,The test was easy.
T,teuer,Einkaufen/Gebrauchsartikel,Das ist mir zu teuer.,贵的,这对我来说太贵了。,expensive,That is too expensive for me.
T,"der Text, -e",Erziehung/Ausbildung/Lernen,Lesen Sie bitte diesen Text.,课文；文本,请读这篇课文。,text,Please read this text.
T,das Thema,Erziehung/Ausbildung/Lernen,Wir sprechen heute über das Thema „Essen und | Trinken“.,主题,我们今天谈论“饮食”这个主题。,topic; theme,Today we are talking about the topic of eating and drinking.
T,"das Ticket, -s",Reisen/Verkehr,Wie viel kostet das Ticket?,票,这张票多少钱？,ticket,How much does the ticket cost?
T,"der Tisch, -e",Wohnen,Die Fotos liegen auf dem Tisch.,桌子,照片在桌子上。,table,The photos are lying on the table.
T,"die Tochter, -ö",Person,Das ist meine Tochter Katharina.,女儿,这是我的女儿卡塔琳娜。,daughter,This is my daughter Katharina.
T,"die Toilette, -en",Wohnen,"Wo ist die Toilette, bitte?",厕所,请问厕所在哪里？,toilet; restroom,"Where is the toilet, please?"
T,"die Tomate, -n",Essen/Trinken,Die Tomate ist noch grün.,西红柿,这个西红柿还是绿色的。,tomato,The tomato is still green.
T,tot,Person,Sein Vater ist schon lange tot.,死的,他的父亲已经去世很久了。,dead,His father has been dead for a long time.
T,(sich) treffen,Allgemein/Grammatik,Ich treffe in der Stadt einen Kollegen. | Wir treffen uns immer freitags.,见面；遇见,我在城里遇见一位同事。| 我们总是星期五见面。,to meet,I am meeting a colleague in town. | We always meet on Fridays.
T,"die Treppe, -n",Wohnen,Die Toilette? Die Treppe hoch und dann links.,楼梯,厕所？上楼梯，然后左转。,stairs,The restroom? Go up the stairs and then left.
T,trinken,Essen/Trinken,Möchtest du etwas trinken?,喝,你想喝点什么吗？,to drink,Would you like something to drink?
T,tschüss,Kommunikation/Sprache,Junge Leute sagen meistens „tschüss!“ und nicht | „auf Wiedersehen“.,再见；拜拜,年轻人大多说“tschüss”，而不是“auf Wiedersehen”。,bye,Young people usually say bye and not goodbye.
T,tun,Allgemein/Grammatik,Ich habe noch etwas zu tun. | Was tut Ihr Mann?,做,我还有事情要做。| 您丈夫做什么工作？,to do,I still have something to do. | What does your husband do?
U,über,Allgemein/Grammatik,Gehen Sie hier über die Straße. | Er wohnt im zweiten Stock über Familie Meier. | Sind Sie über 18?,越过；在……上方；超过,从这里过马路。| 他住在迈尔家楼上二层。| 您超过18岁吗？,over; across; about,Go across the street here. | He lives on the second floor above the Meier family. | Are you over 18?
U,übernachten,Reisen/Verkehr,Du kannst bei mir übernachten.,过夜,你可以在我这里过夜。,to stay overnight,You can stay overnight at my place.
U,überweisen,Dienstleistungen,Sie können das Geld auch überweisen.,转账,您也可以把钱转账。,to transfer,You can also transfer the money.
U,die Uhr,Zeit/Datum,Es ist vier Uhr.,钟；点钟,现在四点。,clock; o'clock; watch,It is four o'clock.
U,um,Allgemein/Grammatik,Er kommt um sieben Uhr. | Da kommt er gerade um die Ecke.,在……点；绕过,他七点来。| 他正好从拐角处过来。,at; around,He comes at seven o'clock. | There he comes around the corner.
U,umziehen,Wohnen,Nächsten Monat ziehen wir um.,搬家,下个月我们搬家。,to move house,We are moving next month.
U,unser- unten,Allgemein/Grammatik,Das ist unsere Lehrerin. | Er wohnt ganz unten im Haus.,我们的；下面,这是我们的老师。| 他住在房子最下面。,our; our; downstairs,That is our teacher. | He lives all the way downstairs in the building.
U,unter,Allgemein/Grammatik,Unter uns wohnt eine Familie mit drei Kindern.,在……下面,我们楼下住着一家有三个孩子的人家。,under; below,A family with three children lives below us.
U,der Unterricht,Erziehung/Ausbildung/Lernen,Wir haben Unterricht von 8.00 bis 12.00 Uhr.,课；教学,我们8点到12点上课。,class; lesson,We have class from 8:00 to 12:00.
U,unterschreiben,Kommunikation/Sprache,Wo muss ich unterschreiben?,签名,我在哪里签名？,to sign,Where do I have to sign?
U,die Unterschrift,Kommunikation/Sprache,Hier fehlt noch Ihre Unterschrift.,签名,这里还缺您的签名。,signature,Your signature is still missing here.
U,der Urlaub,Arbeit/Beruf,Ich nehme im September Urlaub.,假期,我九月休假。,vacation,I am taking vacation in September.
V,"der Vater, -ä",Person,Mein Vater ist Arbeiter.,父亲,我的父亲是工人。,father,My father is a worker.
V,verboten,Allgemein/Grammatik,Hier ist Rauchen verboten.,禁止的,这里禁止吸烟。,forbidden,Smoking is forbidden here.
V,verdienen,Arbeit/Beruf,Ich verdiene 1.500 Euro im Monat.,挣钱,我每月挣1500欧元。,to earn,"I earn 1,500 euros a month."
V,der Verein,Freizeit/Unterhaltung,Es gibt einen neuen Sportverein in der Stadt.,协会；俱乐部,城里有一个新的体育俱乐部。,club; association,There is a new sports club in the city.
V,verheiratet,Person,Ich bin verheiratet und habe drei Kinder.,已婚的,我结婚了，有三个孩子。,married,I am married and have three children.
V,verkaufen,Einkaufen/Gebrauchsartikel,Er verkauft sein altes Auto.,卖,他卖掉他的旧车。,to sell,He is selling his old car.
V,"der Verkäufer, –",Einkaufen/Gebrauchsartikel,Meine Mutter ist Verkäuferin im Kaufhaus.,售货员,我的母亲是百货公司的女售货员。,salesperson,My mother is a saleswoman in the department store.
V,vermieten,Wohnen,Die Wohnung ist schon vermietet.,出租,这套公寓已经出租了。,to rent out,The apartment has already been rented out.
V,der Vermieter,Wohnen,Unser Vermieter heißt Huber. Er wohnt auch hier.,房东,我们的房东叫胡贝尔。他也住在这里。,landlord,Our landlord is named Huber. He also lives here.
V,verstehen,Kommunikation/Sprache,Können Sie mich verstehen?,理解,您能听懂我说的话吗？,to understand,Can you understand me?
V,"der Verwandte, -n",Person,Peter besucht seine Verwandten in Polen.,亲戚,彼得去波兰看望他的亲戚。,relative,Peter is visiting his relatives in Poland.
V,viel,Allgemein/Grammatik,Hier regnet es viel.,很多,这里下雨很多。,much; many; a lot,It rains a lot here.
V,vielleicht,Allgemein/Grammatik,Ich komme vielleicht mit dem Bus.,也许,也许我坐公交车一起来。,maybe,Maybe I will come by bus.
V,von,Allgemein/Grammatik,Das Auto von Felix ist kaputt. | Er kommt gerade von Köln/von zu Hause.,……的；从,费利克斯的车坏了。| 他刚从科隆/家里来。,from; of,Felix's car is broken. | He is just coming from Cologne/from home.
V,vor,Allgemein/Grammatik,Der Termin war vor einer Stunde. | Das Auto steht vor der Tür.,在……前；以前,预约是一小时前。| 汽车停在门前。,before; in front of,The appointment was an hour ago. | The car is in front of the door.
V,"der Vorname, -n",Person,"Ich heiße Müller, mein Vorname ist Eva.",名字,我姓米勒，名字叫埃娃。,first name,My name is Müller; my first name is Eva.
V,die Vorsicht,Allgemein/Grammatik,Vorsicht! Da kommt ein Auto.,小心,小心！有车来了。,caution,Careful! A car is coming.
V,(sich) vorstellen,Kommunikation/Sprache,Wir wollen uns kennenlernen. Können Sie sich bitte | vorstellen?,自我介绍；想象,我们想互相认识。您能请自我介绍一下吗？,to introduce oneself,We want to get to know each other. Could you please introduce yourself?
V,die Vorwahl,Dienstleistungen,Wie ist die Vorwahl von München?,区号,慕尼黑的区号是多少？,area code,What is the area code for Munich?
W,wandern,Freizeit/Unterhaltung,Wir wandern um den Chiemsee.,徒步旅行,我们围绕基姆湖徒步。,to hike,We are hiking around Lake Chiemsee.
W,wann,Zeit/Datum,Wann bist du fertig? | Wann kann ich Sie anrufen? | Wann sind Sie geboren?,什么时候,你什么时候完成？| 我什么时候可以给您打电话？| 您什么时候出生？,when,When are you finished? | When can I call you? | When were you born?
W,warten,Allgemein/Grammatik,Können Sie ein paar Minuten warten? | Auf wen warten Sie?,等待,您能等几分钟吗？| 您在等谁？,to wait,Can you wait a few minutes? | Who are you waiting for?
W,warum,Allgemein/Grammatik,Warum kommt er nicht?,为什么,他为什么不来？,why,Why is he not coming?
W,was,Allgemein/Grammatik,Was ist das? | Was möchten Sie?,什么,这是什么？| 您想要什么？,what,What is that? | What would you like?
W,was für ein,Allgemein/Grammatik,Was für eine Farbe möchten Sie?,什么样的,您想要什么颜色？,what kind of,What kind of color would you like?
W,(sich) waschen,Gesundheit/Körper,Wo kann ich mir die Hände waschen? | Ich muss morgen waschen.,洗；洗衣服,我在哪里可以洗手？| 我明天必须洗衣服。,to wash oneself; to wash,Where can I wash my hands? | I have to do laundry tomorrow.
W,das Wasser,Essen/Trinken,"Ein Glas Wasser, bitte.",水,请来一杯水。,water,"A glass of water, please."
W,weh tun,Gesundheit/Körper,Ich muss zum Arzt. Mein Bein tut weh.,疼,我必须去看医生。我的腿疼。,to hurt,I have to go to the doctor. My leg hurts.
W,weiblich,Person,Kreuzen Sie bitte an: „weiblich“ oder „männlich“.,女性的,请勾选：“女性”或“男性”。,female,Please tick: female or male.
W,der Wein,Essen/Trinken,"Nein danke, ich möchte keinen Wein.",葡萄酒,不了，谢谢，我不想要葡萄酒。,wine,"No, thank you; I do not want any wine."
W,weiter,Allgemein/Grammatik,Der Bus fährt nicht weiter.,继续；更远,公交车不再继续开了。,further; onward,The bus does not go any farther.
W,welch- die Welt,Umwelt,Welches Buch möchtest du? | Es gibt viele Probleme auf der Welt.,哪个；世界,你想要哪本书？| 世界上有很多问题。,which; world,Which book would you like? | There are many problems in the world.
W,wenig,Allgemein/Grammatik,Ich habe leider nur wenig verstanden. | Er verdient wenig.,少；少量,很遗憾，我只听懂了一点。| 他挣得少。,little; few,"Unfortunately, I understood only a little. | He earns little."
W,wer,Allgemein/Grammatik,Wer ist das?,谁,这是谁？,who,Who is that?
W,werden,Allgemein/Grammatik,Mein Sohn will Arzt werden.,成为；变成,我儿子想成为医生。,to become,My son wants to become a doctor.
W,das Wetter,Umwelt,Wir hatten schlechtes Wetter.,天气,我们遇到了坏天气。,weather,We had bad weather.
W,wichtig,Allgemein/Grammatik,Dieses Formular ist sehr wichtig.,重要的,这张表格非常重要。,important,This form is very important.
W,wie,Allgemein/Grammatik,Wie heißt du? | Er schreibt wie ein Kind. | Meine Frau ist so groß wie ich. | Wie soll ich das machen? | Wie groß ist die Wohnung? | Wie bitte? | Wie lange bist du schon hier?,怎样；像；多么,你叫什么名字？| 他写得像个孩子。| 我妻子和我一样高。| 我该怎么做？| 这套公寓多大？| 什么，请再说一遍？| 你在这里多久了？,how; like,What is your name? | He writes like a child. | My wife is as tall as I am. | How should I do that? | How big is the apartment? | Pardon? | How long have you been here?
W,wiederholen,Erziehung/Ausbildung/Lernen,Können Sie das bitte wiederholen?,重复,您能请重复一下吗？,to repeat,Could you please repeat that?
W,das Wiederhören,Kommunikation/Sprache,Wir müssen jetzt Schluss machen. | Also auf Wiederhören!,再听到；电话再见,我们现在必须结束了。| 那么电话里再见！,hearing again; goodbye on the phone,"We have to finish now. | Well, goodbye!"
W,das Wiedersehen,Kommunikation/Sprache,Auf Wiedersehen!,再见,再见！,goodbye,Goodbye!
W,wie viel,Allgemein/Grammatik,Wie viel Milch nehmen Sie?,多少,您要多少牛奶？,how much; how many,How much milk do you take?
W,willkommen,Kommunikation/Sprache,Herzlich willkommen!,欢迎,热烈欢迎！,welcome,A warm welcome!
W,der Wind,Umwelt,Der Wind kommt aus Osten.,风,风从东方来。,wind,The wind is coming from the east.
W,wir,Person,Wir lernen Deutsch.,我们,我们学习德语。,we,We are learning German.
W,wissen,Allgemein/Grammatik,"Weißt du, wie er heißt?",知道,你知道他叫什么名字吗？,to know,Do you know what his name is?
W,wo,Allgemein/Grammatik,Wo waren Sie im Urlaub? | Wo ist die Post? | Wo sind Sie geboren?,哪里,您在哪里度假？| 邮局在哪里？| 您在哪里出生？,where,Where were you on vacation? | Where is the post office? | Where were you born?
W,woher,Allgemein/Grammatik,Woher kommen Sie?,从哪里,您来自哪里？,where from,Where do you come from?
W,wohin,Allgemein/Grammatik,Wohin fährt dieser Bus? | Wohin wollen Sie am Wochenende?,到哪里,这辆公交车开往哪里？| 周末你想去哪里？,where to,Where is this bus going? | Where do you want to go this weekend?
W,wohnen,Wohnen,Ich wohne in München.,居住,我住在慕尼黑。,to live; to reside,I live in Munich.
W,"die Wohnung, -en",Wohnen,Seit wann haben Sie diese Wohnung?,公寓；住房,您从什么时候开始有这套公寓？,apartment,How long have you had this apartment?
W,wollen,Allgemein/Grammatik,Wollen Sie einen Kaffee trinken?,想要,您想喝咖啡吗？,to want,Would you like to drink a coffee?
W,"das Wort, -ö, er/-e",Erziehung/Ausbildung/Lernen,Ich kenne das Wort nicht.,词；单词,我不认识这个词。,word,I do not know the word.
W,wunderbar,Allgemein/Grammatik,Das Essen schmeckt wunderbar.,美妙的,饭菜味道非常好。,wonderful,The food tastes wonderful.
Z,zahlen,Einkaufen/Gebrauchsartikel,"Zahlen, bitte!",付款,请结账！,to pay,"The bill, please!"
Z,die Zeit,Zeit/Datum,Ich habe heute keine Zeit.,时间,我今天没有时间。,time,I do not have time today.
Z,zurzeit,Zeit/Datum,Zurzeit habe ich sehr viel zu tun.,目前,目前我有很多事情要做。,currently,I currently have a lot to do.
Z,"die Zeitung, -en",Freizeit/Unterhaltung,Ich lese gern Zeitung.,报纸,我喜欢看报纸。,newspaper,I like reading the newspaper.
Z,"die Zigarette, -n",Allgemein/Grammatik,Wie teuer sind die Zigaretten?,香烟,香烟多少钱？,cigarette,How expensive are the cigarettes?
Z,"das Zimmer, –",Wohnen,"Das Zimmer ist groß. | Öffne im Schlafzimmer das Fenster, bitte! | Die Wohnung hat drei Zimmer. | Ich habe ein Zimmer bestellt.",房间,这个房间很大。| 请打开卧室的窗户！| 这套公寓有三个房间。| 我订了一个房间。,room,The room is large. | Please open the window in the bedroom. | The apartment has three rooms. | I reserved a room.
Z,der Zoll,Reisen/Verkehr,Wir müssen noch durch den Zoll.,海关,我们还得通过海关。,customs,We still have to go through customs.
Z,zu,Allgemein/Grammatik,Der Bus fährt zum Bahnhof. | Ich gehe zu Fuß.,到；太；关着,公交车开往火车站。| 我步行去。,to; closed; too,The bus goes to the train station. | I go on foot.
Z,zufrieden,Allgemein/Grammatik,Ich bin mit der Wohnung zufrieden.,满意的,我对这套公寓满意。,satisfied,I am satisfied with the apartment.
Z,"der Zug, -ü, e",Reisen/Verkehr,Ich fahre gern mit dem Zug.,火车,我喜欢坐火车。,train,I like traveling by train.
Z,zurück,Allgemein/Grammatik,Einmal Frankfurt und zurück. | Wann kommst du zurück?,回来；返回,一张去法兰克福并返回的票。| 你什么时候回来？,back; return,One ticket to Frankfurt and back. | When are you coming back?
Z,zusammen,Allgemein/Grammatik,Sollen wir zusammen essen gehen? | Das macht zusammen 2 Euro 80.,一起；总共,我们一起去吃饭吗？| 一共2欧元80分。,together,Shall we go eat together? | That makes 2 euros 80 altogether.
Z,zwischen,Allgemein/Grammatik,Heidelberg liegt zwischen Frankfurt und Stuttgart. | Zwischen 8 und 10 Uhr bin ich zu Hause.,在……之间,海德堡位于法兰克福和斯图加特之间。| 8点到10点之间我在家。,between,Heidelberg is between Frankfurt and Stuttgart. | I am at home between 8 and 10 o'clock.
